Gene	Length	logFC	logCPM	F	PValue	FDR
AT4G23200	2520	2.69451270588276	4.3956153126037	247.946677404744	1.83444032674868e-12	1.35139883525527e-10
AT1G73650	1565	1.19384437891192	4.68853905021076	235.857865745572	1.93780251422821e-12	1.42042503316382e-10
AT5G57580	2530	1.03489091869218	6.38737812221819	235.753387737497	1.945667658187e-12	1.42042503316382e-10
AT4G23210	2621	6.169273394473	5.60068477410393	286.290047092394	2.02731932334846e-12	1.47339750105419e-10
AT3G13790	2551	3.96926190964262	6.24502818677678	271.69844637485	2.2020775922056e-12	1.59233034105885e-10
AT5G63020	2975	0.938458486279739	5.0853270063328	232.482352616104	2.21061471424842e-12	1.59233034105885e-10
AT4G00340	3046	-0.793844140379146	5.30253711701228	231.902571973175	2.26159943024187e-12	1.62184698964292e-10
AT3G48560	2467	-0.844666347241577	9.43359189399069	230.907871311064	2.35211540164646e-12	1.67932750284071e-10
AT2G27600	1900	0.659485730698203	6.69999593631628	230.02360119071	2.43594008322053e-12	1.73154740915593e-10
AT4G21120	3588	5.58874838977363	3.31068369550979	254.161521336123	2.67128457482948e-12	1.89054624909439e-10
AT3G26210	2189	3.89167697582391	5.6329198806397	264.521790895295	2.69518636969682e-12	1.89298436976243e-10
AT2G16600	1333	1.35771912107687	8.07034422934991	227.46042740169	2.69808964901044e-12	1.89298436976243e-10
AT3G06300	1450	1.49766459763678	3.68669529937437	226.828576646939	2.76738742405174e-12	1.93323482679338e-10
AT5G53550	3038	2.15323397839137	5.4945026218529	234.590661825071	2.81714555248834e-12	1.9489776212829e-10
AT1G09210	2201	1.35428907763587	6.12184884299758	226.316183882788	2.82502404665343e-12	1.9489776212829e-10
AT1G22280	1766	1.332059363281	5.79858242119781	226.234008163362	2.83439002095308e-12	1.9489776212829e-10
AT5G16910	4501	1.29540622274239	6.26494193569345	226.164061659764	2.84238911792632e-12	1.9489776212829e-10
AT4G23850	2425	0.882482635947707	8.08373683080304	226.097270569123	2.85005057224686e-12	1.9489776212829e-10
AT3G46080	786	5.55055526526876	1.12872812907265	225.697878217803	2.89634128555247e-12	1.97231105945164e-10
AT3G57170	2685	-1.24129928008986	4.89736773223496	224.869542886735	2.99501022972862e-12	2.03096781561555e-10
AT3G14840	3996	1.35891234759402	6.39497778350932	224.077906733691	3.0927771524016e-12	2.08009776845379e-10
AT5G45380	2742	3.4823828759128	5.4413335036072	256.452382642211	3.0931298957078e-12	2.08009776845379e-10
AT3G62700	4973	-1.33897642557597	8.06076092431419	223.48063723163	3.16886642278977e-12	2.12222388901462e-10
AT1G79340	1789	0.750101290027915	6.75371243078419	222.354478345128	3.31800546260456e-12	2.2129594457791e-10
AT2G17760	2032	1.02944254859084	4.98692762019073	221.208046959894	3.47781028476591e-12	2.31003570840988e-10
AT2G39580	5352	-0.779470634549235	6.33108263370623	221.039425969537	3.5020218854404e-12	2.31662321213603e-10
AT4G27470	1179	1.6357429319545	4.12581767253209	220.248019932815	3.61816444046577e-12	2.3837232149036e-10
AT5G49100	1932	-1.6524081753401	4.75542326587705	219.86100151262	3.6765005051308e-12	2.40324906401069e-10
AT5G46690	1776	-2.44410670834787	3.78672185965538	219.854699676572	3.67745892438238e-12	2.40324906401069e-10
AT2G36310	1849	1.34395802121372	4.05450012684908	219.694698783898	3.70188519776308e-12	2.4094961204878e-10
AT4G23220	1977	3.93241749218654	4.36841690511406	247.231800095693	3.76374280088963e-12	2.43483227476532e-10
AT5G20480	4306	2.20365844809755	3.08051754902989	219.08270306723	3.79697695986463e-12	2.43483227476532e-10
AT5G21090	1302	0.973969679449688	7.86877495306714	219.08218737972	3.79705821305705e-12	2.43483227476532e-10
